StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q2_1,Q3,Q4,Q5_1,Q6,Q7,Q8_1,Q9
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,What is your salary expectation after graduation in CAD?,What is your self rated enjoyment of MDS on a scale of 1 - 4?With 4 being very happy with MDS and 1 being not happy at all with MDS.,What was your previous salary prior to MDS in CAD?,How many years of professional work experience did you have prior to MDS?,How confident in your data science skillset did you feel when first starting MDS on a scale of 1 - 4? With 4 being very confident and 1 being not confident.,Do you typically do optional questions in labs?,Are you currently applying for data science jobs?,"How would you rate your current happiness level on a scale of 1-4?With 4 being very happy, 1 being not happy.","How often do you attend MDS career events?  For example, the panel on technical interview questions."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID172807697""}","{""ImportId"":""QID172807701_1""}","{""ImportId"":""QID96""}","{""ImportId"":""QID172807686""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID172807685""}","{""ImportId"":""QID92""}","{""ImportId"":""QID99_1""}","{""ImportId"":""QID93""}"
2019-04-03 14:35,2019-04-03 14:37,IP Address,100,85,TRUE,2019-04-03 14:37,R_PCn2e2uC2D24huV,,,,,anonymous,EN,"$60,000 to $80,000",3,"$60,000 to $80,000",Less than 1 Year,2,No,Yes,4,Sometimes
2019-04-03 14:38,2019-04-03 14:40,IP Address,100,76,TRUE,2019-04-03 14:40,R_1qaHUxXLqyVLCa8,,,,,anonymous,EN,"$80,001 to $100,000",3,"$60,000 to $80,000",1 - 4 Years,3,No,Yes,2,Sometimes
2019-04-03 14:37,2019-04-03 14:39,Spam,100,140,TRUE,2019-04-03 14:41,R_1I5fmPZ3FovAQ7k,,,,,anonymous,EN,"$80,001 to $100,000",3,"$60,000 to $80,000",4 - 7 Years,2,No,Yes,3,Not Often
2019-04-03 14:53,2019-04-03 14:53,Survey Preview,100,42,TRUE,2019-04-03 14:53,R_2Pbzme2uIJfSOjb,,,,,preview,EN,"Less than $60,000",4,"Less than $60,000",Less than 1 Year,4,Yes,Yes,4,Not Often
2019-04-03 14:54,2019-04-03 14:55,Spam,100,39,TRUE,2019-04-03 14:56,R_r1lO7dg86T1rfKF,,,,,anonymous,EN,"$60,000 to $80,000",3,"$60,000 to $80,000",1 - 4 Years,1,No,Yes,3,Often
2019-04-03 15:52,2019-04-03 15:54,IP Address,100,134,TRUE,2019-04-03 15:54,R_3G2GOIVWJdPLwMh,,,,,anonymous,EN,"$80,001 to $100,000",3,"Less than $60,000",1 - 4 Years,1,No,No,2,Sometimes
2019-04-03 15:57,2019-04-03 15:58,IP Address,100,88,TRUE,2019-04-03 15:58,R_1kRFPyIoYvLhTuI,,,,,anonymous,EN,"$80,001 to $100,000",3,"$100,001 to $120,000",10+ Years,1,No,No,3,Often
2019-04-03 16:01,2019-04-03 16:02,IP Address,100,74,TRUE,2019-04-03 16:02,R_5bXvyQGaql6wt6V,,,,,anonymous,EN,"More than $120,000",3,"Less than $60,000",Less than 1 Year,3,Yes,Yes,3,Sometimes
2019-04-03 16:02,2019-04-03 16:03,IP Address,100,101,TRUE,2019-04-03 16:03,R_31iIVidAAA7a5Gt,,,,,anonymous,EN,"$60,000 to $80,000",4,"Less than $60,000",Less than 1 Year,1,Yes,Yes,3,Often
2019-04-03 16:03,2019-04-03 16:05,IP Address,100,126,TRUE,2019-04-03 16:05,R_A7IQ8A5V0LDhBGp,,,,,anonymous,EN,"$80,001 to $100,000",4,"$100,001 to $120,000",4 - 7 Years,2,No,No,3,Often
2019-04-03 16:03,2019-04-03 16:05,IP Address,100,95,TRUE,2019-04-03 16:05,R_bfphwsTZAJyY0lH,,,,,anonymous,EN,"More than $120,000",3,"$100,001 to $120,000",1 - 4 Years,3,No,No,4,Not Often
